reading_id,shipment_id,device_id,timestamp,temp_c,battery_pct
R0001_1761672474,S0001,D001,2025-10-28T17:27:54.508608,5.4,100.0
R0001_1761675834,S0001,D001,2025-10-28T18:23:54.508608,5.43,99.8
R0001_1761678174,S0001,D001,2025-10-28T19:02:54.508608,5.58,99.6
R0001_1761682014,S0001,D001,2025-10-28T20:06:54.508608,5.52,98.8
R0001_1761684234,S0001,D001,2025-10-28T20:43:54.508608,5.42,99.0
R0001_1761688194,S0001,D001,2025-10-28T21:49:54.508608,5.41,97.9
R0001_1761691134,S0001,D001,2025-10-28T22:38:54.508608,5.41,98.6
R0001_1761695034,S0001,D001,2025-10-28T23:43:54.508608,5.46,98.7
R0001_1761699954,S0001,D001,2025-10-29T01:05:54.508608,5.42,97.1
R0001_1761704334,S0001,D001,2025-10-29T02:18:54.508608,5.47,97.9
R0001_1761706794,S0001,D001,2025-10-29T02:59:54.508608,5.43,96.6
R0001_1761708954,S0001,D001,2025-10-29T03:35:54.508608,5.46,96.6
R0001_1761712974,S0001,D001,2025-10-29T04:42:54.508608,5.48,97.1
R0001_1761716934,S0001,D001,2025-10-29T05:48:54.508608,5.31,95.8
R0001_1761721134,S0001,D001,2025-10-29T06:58:54.508608,5.41,95.8
R0001_1761723654,S0001,D001,2025-10-29T07:40:54.508608,5.45,95.8
R0001_1761726834,S0001,D001,2025-10-29T08:33:54.508608,5.45,94.4
R0001_1761728994,S0001,D001,2025-10-29T09:09:54.508608,5.4,95.2
R0001_1761732894,S0001,D001,2025-10-29T10:14:54.508608,5.34,93.3
R0001_1761737394,S0001,D001,2025-10-29T11:29:54.508608,5.39,92.5
R0001_1761739434,S0001,D001,2025-10-29T12:03:54.508608,5.31,94.0
R0001_1761743394,S0001,D001,2025-10-29T13:09:54.508608,5.4,93.5
R0001_1761745374,S0001,D001,2025-10-29T13:42:54.508608,5.5,92.1
R0001_1761749514,S0001,D001,2025-10-29T14:51:54.508608,5.3,95.7
R0001_1761752094,S0001,D001,2025-10-29T15:34:54.508608,5.46,95.0
R0001_1761755754,S0001,D001,2025-10-29T16:35:54.508608,5.43,90.5
R0001_1761760134,S0001,D001,2025-10-29T17:48:54.508608,5.51,88.2
R0001_1761763974,S0001,D001,2025-10-29T18:52:54.508608,5.41,92.6
R0001_1761767394,S0001,D001,2025-10-29T19:49:54.508608,5.43,90.0
R0001_1761772134,S0001,D001,2025-10-29T21:08:54.508608,5.48,93.4
R0001_1761775134,S0001,D001,2025-10-29T21:58:54.508608,5.42,91.7
R0001_1761778674,S0001,D001,2025-10-29T22:57:54.508608,5.51,89.8
R0001_1761782694,S0001,D001,2025-10-30T00:04:54.508608,5.41,92.6
R0001_1761788034,S0001,D001,2025-10-30T01:33:54.508608,5.36,90.7
R0001_1761791574,S0001,D001,2025-10-30T02:32:54.508608,5.36,91.7
R0001_1761794754,S0001,D001,2025-10-30T03:25:54.508608,5.36,85.3
R0001_1761797694,S0001,D001,2025-10-30T04:14:54.508608,5.31,84.7
R0001_1761800394,S0001,D001,2025-10-30T04:59:54.508608,5.29,84.6
R0001_1761805194,S0001,D001,2025-10-30T06:19:54.508608,5.5,82.8
R0001_1761807654,S0001,D001,2025-10-30T07:00:54.508608,5.47,81.9
R0001_1761812094,S0001,D001,2025-10-30T08:14:54.508608,5.45,91.8
R0001_1761816834,S0001,D001,2025-10-30T09:33:54.508608,5.4,86.3
R0001_1761819534,S0001,D001,2025-10-30T10:18:54.508608,5.45,82.1
R0001_1761821634,S0001,D001,2025-10-30T10:53:54.508608,5.39,83.5
R0001_1761825594,S0001,D001,2025-10-30T11:59:54.508608,5.45,90.6
R0001_1761828534,S0001,D001,2025-10-30T12:48:54.508608,5.48,85.8
R0001_1761832314,S0001,D001,2025-10-30T13:51:54.508608,5.4,83.1
R0001_1761835974,S0001,D001,2025-10-30T14:52:54.508608,5.46,80.6
R0001_1761841134,S0001,D001,2025-10-30T16:18:54.508608,5.45,90.5
R0001_1761844194,S0001,D001,2025-10-30T17:09:54.508608,5.37,89.7
R0001_1761848754,S0001,D001,2025-10-30T18:25:54.508608,5.3,82.3
R0001_1761852234,S0001,D001,2025-10-30T19:23:54.508608,5.48,75.9
R0001_1761855114,S0001,D001,2025-10-30T20:11:54.508608,5.44,87.9
R0001_1761859194,S0001,D001,2025-10-30T21:19:54.508608,5.46,87.6
R0001_1761861234,S0001,D001,2025-10-30T21:53:54.508608,5.36,86.0
R0001_1761863454,S0001,D001,2025-10-30T22:30:54.508608,5.36,76.9
